iter,  x,    y,  grad_x, grad_y, function_value 
  0   1.5   2.5  -149     50     6.5 
  1  1.51  2.28  1.08 -0.0208    0.26 
  2  1.51  2.28  1.08 -0.0208    0.26 
  3  1.51  2.28  1.08 -0.0208    0.26 
  4  1.48   2.2 0.513  0.154   0.235 
  5  1.48   2.2 0.513  0.154   0.235 
  6  1.46  2.13 -0.216  0.388    0.21 
  7  1.46  2.13 -0.216  0.388    0.21 
  8  1.44  2.09 0.0111  0.304   0.198 
  9  1.44  2.09 0.0111  0.304   0.198 
 10  1.43  2.05 0.0126  0.297   0.187 
 11  1.43  2.05 0.0126  0.297   0.187 
 12  1.43  2.03 0.0688  0.274   0.181 
 13  1.43  2.03 0.0688  0.274   0.181 
 14  1.42  2.01 0.0687  0.271   0.175 
 15  1.42  2.01 0.0687  0.271   0.175 
 16  1.41  1.99 0.0677  0.268    0.17 
 17  1.41  1.99 0.0677  0.268    0.17 
 18  1.41  1.98 0.067  0.265   0.164 
 19  1.41  1.98 0.067  0.265   0.164 
 20   1.4  1.96 0.0664  0.261   0.159 
 21   1.4  1.96 0.0664  0.261   0.159 
 22  1.39  1.94 0.0657  0.258   0.154 
 23  1.39  1.94 0.0657  0.258   0.154 
 24  1.39  1.92 0.0651  0.255   0.149 
 25  1.39  1.92 0.0651  0.255   0.149 
 26  1.38   1.9 0.0644  0.251   0.143 
 27  1.38   1.9 0.0644  0.251   0.143 
 28  1.37  1.88 0.0637  0.248   0.138 
 29  1.37  1.88 0.0637  0.248   0.138 
 30  1.37  1.86 0.063  0.244   0.133 
 31  1.37  1.86 0.063  0.244   0.133 
 32  1.36  1.85 0.0623  0.241   0.128 
 33  1.36  1.85 0.0623  0.241   0.128 
 34  1.35  1.83 0.0616  0.237   0.124 
 35  1.35  1.83 0.0616  0.237   0.124 
 36  1.34  1.81 0.0608  0.234   0.119 
 37  1.34  1.79 0.121  0.207   0.114 
 38  1.34  1.79 0.121  0.207   0.114 
 39  1.33  1.77 0.0663  0.224    0.11 
 40  1.33  1.77 0.0663  0.224    0.11 
 41  1.32  1.75 0.0578  0.223   0.105 
 42  1.32  1.74 0.116  0.197   0.101 
 43  1.32  1.74 0.116  0.197   0.101 
 44  1.31  1.72 0.0646  0.212  0.0966 
 45  1.31  1.72 0.0646  0.212  0.0966 
 46   1.3   1.7 0.0554  0.212  0.0923 
 47   1.3  1.68 0.112  0.186  0.0882 
 48   1.3  1.68 0.112  0.186  0.0882 
 49  1.29  1.66 0.063    0.2  0.0841 
 50  1.29  1.66 0.063    0.2  0.0841 
 51  1.28  1.65 0.0529    0.2  0.0802 
 52  1.28  1.63 0.108  0.174  0.0763 
 53  1.28  1.63 0.108  0.174  0.0763 
 54  1.27  1.61 0.0612  0.188  0.0725 
 55  1.27  1.61 0.0612  0.188  0.0725 
 56  1.26  1.59 0.0503  0.188  0.0688 
 57  1.26  1.58 0.104  0.162  0.0652 
 58  1.26  1.58 0.104  0.162  0.0652 
 59  1.25  1.56 0.0593  0.175  0.0616 
 60  1.25  1.56 0.0593  0.175  0.0616 
 61  1.24  1.54 0.0476  0.175  0.0582 
 62  1.23  1.52 0.0994  0.149  0.0548 
 63  1.23  1.52 0.0994  0.149  0.0548 
 64  1.23  1.51 0.0572  0.162  0.0516 
 65  1.23  1.51 0.0572  0.162  0.0516 
 66  1.22  1.49 0.0447  0.162  0.0484 
 67  1.21  1.47 0.0948  0.136  0.0454 
 68  1.21  1.47 0.0948  0.136  0.0454 
 69  1.21  1.45 0.055  0.148  0.0424 
 70  1.21  1.45 0.055  0.148  0.0424 
 71   1.2  1.44 0.0418  0.148  0.0395 
 72  1.19  1.42 0.0901  0.123  0.0367 
 73  1.19  1.42 0.0901  0.123  0.0367 
 74  1.18   1.4 0.0526  0.133   0.034 
 75  1.18   1.4 0.0526  0.133   0.034 
 76  1.18  1.39 0.0388  0.134  0.0314 
 77  1.17  1.37 0.0853  0.109  0.0289 
 78  1.17  1.37 0.0853  0.109  0.0289 
 79  1.16  1.35  0.05  0.119  0.0266 
 80  1.16  1.35  0.05  0.119  0.0266 
 81  1.16  1.34 0.0356  0.119  0.0243 
 82  1.15  1.32 0.0804 0.0942   0.022 
 83  1.15  1.32 0.0804 0.0942   0.022 
 84  1.14   1.3 0.0472  0.103    0.02 
 85  1.14   1.3 0.0472  0.103    0.02 
 86  1.13  1.29 0.0323  0.104   0.018 
 87  1.13  1.29 0.0323  0.104   0.018 
 88  1.13  1.28 0.0339    0.1   0.017 
 89  1.12  1.26 0.0688 0.0789  0.0151 
 90  1.12  1.26 0.0688 0.0789  0.0151 
 91  1.12  1.25 0.0416  0.085  0.0134 
 92  1.12  1.25 0.0416  0.085  0.0134 
 93  1.11  1.24 0.0322 0.0862  0.0126 
 94  1.11  1.23 0.0383 0.0805  0.0118 
 95  1.11  1.23 0.0383 0.0805  0.0118 
 96   1.1  1.22 0.0304  0.081   0.011 
 97   1.1  1.21 0.0369  0.075  0.0102 
 98   1.1  1.21 0.0369  0.075  0.0102 
 99   1.1   1.2 0.0289 0.0755 0.00949 
100  1.09   1.2 0.0352 0.0695 0.00878 
101  1.09   1.2 0.0352 0.0695 0.00878 
102  1.09  1.19 0.0273   0.07 0.00811 
103  1.09  1.18 0.0334  0.064 0.00745 
104  1.09  1.18 0.0334  0.064 0.00745 
105  1.08  1.17 0.0256 0.0644 0.00683 
106  1.08  1.16 0.0317 0.0584 0.00623 
107  1.08  1.16 0.0317 0.0584 0.00623 
108  1.08  1.16 0.024 0.0588 0.00566 
109  1.08  1.16 0.024 0.0588 0.00566 
110  1.07  1.15 0.0197 0.0575 0.00512 
111  1.07  1.15 0.0197 0.0575 0.00512 
112  1.07  1.14 0.0185 0.0548  0.0046 
113  1.07  1.14 0.0185 0.0548  0.0046 
114  1.06  1.13 0.0179 0.0518 0.00411 
115  1.06  1.13 0.0179 0.0518 0.00411 
116  1.06  1.12 0.0171 0.0488 0.00365 
117  1.06  1.12 0.0171 0.0488 0.00365 
118  1.06  1.12 0.0163 0.0459 0.00321 
